query_id	query	description	engine	url	rank	score
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	"https://www.allrecipes.com/article/5-pro-tips-making-best-lasagna/#:~:text=%20How%20to%20Make%20the%20Best%20Lasagna%20,F%20for%20an%20hour%29%2C%20then%20remove...%20More%20"	1	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.allrecipes.com/article/5-pro-tips-making-best-lasagna/	2	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.tasteofhome.com/collection/how-to-make-the-best-lasagna-recipe-ever/	3	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/	4	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://thestayathomechef.com/amazing-lasagna-recipe/	5	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.lacucinaitaliana.com/italian-food/italian-dishes/lasagna-the-original-recipe	6	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.delish.com/cooking/recipe-ideas/recipes/a51337/classic-lasagna-recipe/	7	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.bbcgoodfood.com/recipes/classic-lasagne-0	8	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.bbc.co.uk/food/recipes/lasagne_22392	9	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.bbcgoodfood.com/recipes/easiest-ever-lasagne	10	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=l-BtL7VGaajg3VfCtGqjfoW_xzdkoQ7nXOWiz2YO0JhwYQmclDu1d84OythTnyJUoEJ1SXInod6p0eB3fk7f2M7VkyFKYzaSBcrtZI3kKRx9EdPZKb4-mXsul0JfiIUy	1	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=5ODR1SDPkxdPQvyM1TnYJ2zeSAKOUiNfv8myTXddIRTKvDoj0srvXKTeg1xePu9vy4HWDsLlNcq2IQjpBRL9ra	2	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=rFirFVwrgOxVaMJjwEQ9AxeGQaVxXgLdQjPNckBlo_TfZTFcJ78T96M4tG03p6CPXGgmGVIlSlp872kfjJMDB3O6kj_voKPEx4ZxUE_SRdqOygvT5Ixl12_OLvcyO63a	3	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=Gl1G-Z0GAMongzFxhABaTI-2BhlcR4JTa7Z1FtOXQtczT-Gws6AsZ6160_B7PQH27yAbXtu_853Nz2sHJ29SIqvneAKUbJj9WLj9IA-EnQZb5xbxAz5-r1PiONtsvnhM	4	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=B4sLxcek5Fjop8P-LWmhrnvesaqTDNRJfMLMvsQ_k1ecLPg0V5elOHHWLXu10B9Us9Qdo291HfMUyVruqGxdVaoTK-MB4AAdC3HurV0hcvm	5	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=s7KLta8tWdr-zOidVf-iBuRQYMkaU1Lw5flUbU87sC_iNXN07D5QZ6Fhr6EobncJB7HLID9NUCxajmT7i8LX0Rk68VGWraCJxoxBmNiI-ColQcVYMsijhTo9xK_FEHZV	6	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=y0H4iENze7RHpW0n3Y5swzke-JJrvttylqzoTcpF6yiU1zBn-XEouFSHTiuTj0FhklCT0vdcesxACfQa0M3h9DYnc2nBoXszItd6F2_Ibqe	7	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=KxkjvNGd6JUhf_wJCUIZWx05rPTJ_UGdegbggHJe0NRb1JWEhvxwdUoPxNeJUsD4qL2i6tZexitMo0uz4moURPvpckuwNxBK9zyJzKbEDR_	8	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=UeVJOlh0ZWmwBC4iEPOsQV4bDtB8DjbCgarVJHrKtyUsnunQLrfS5SxZq53wh4c90D8qhLECzyb-Dezq3d6nda	9	0
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=jTlXyI4fcY_XmZW901qGZOzlSGUfm4hA6416Fjp4MQFYs08TMSU6V-HZwaNNXHEKwc9aB2p6-BDLRKJkgB-sva	10	2
1	benefits of running regularly	Want to know the benefits of running regularly	BING	"https://veganwithkent.com/mental-health-benefits-of-running/#:~:text=12%20Physical%20%26%20Mental%20Health%20Benefits%20of%20Running,Right%20Fuel%20for%20Runners.%20...%204%20Conclusion.%20"	1	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	https://www.betterhealth.vic.gov.au/health/healthyliving/running-and-jogging-health-benefits	2	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	https://www.healthline.com/health/fitness-exercise/running-everyday	3	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	https://www.organicfacts.net/running.html	4	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	https://www.betterhealth.vic.gov.au/health/healthyliving/running-and-jogging-health-benefits	5	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	https://www.openfit.com/benefits-of-running	6	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	https://www.healthline.com/health/fitness-exercise/running-everyday	7	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	https://www.menshealth.com/health/a26522316/benefits-of-running/	8	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	https://veganwithkent.com/mental-health-benefits-of-running/	9	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	https://www.betterhealth.vic.gov.au/health/healthyliving/running-and-jogging-health-benefits	10	3
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	http://www.sogou.com/link?url=hedJjaC291NFLWJnp_cefJeVxhuqKXN0Yg_DuxRAjwR7myJmmEhup3nTYklhlxdy&query=benefits+of+running+regularly	1	3
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	http://www.sogou.com/link?url=hedJjaC291OQ8Ab-dfgbhSMAOFfRwGBGpSiNyXMHUsriVBv0DEd2FYDxYL46Ewqa3Y4K-rGDA9LLeRQKtSJczK3mlRzfPLR2&query=benefits+of+running+regularly	2	3
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	https://www.healthline.com/health/fitness-exercise/running-everyday	3	3
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	https://www.healthline.com/health/fitness-exercise/essential-runner-stretches	4	0
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	https://www.healthline.com/health/essential-exercises-improve-running-technique	5	0
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	https://www.healthline.com/health/osteoarthritis/knee/alternatives-to-high-impact-exercises	6	0
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	http://www.sogou.com/link?url=hedJjaC291PiPbRcjUvjtcY-kzYlwwFV2TS0iOtOOWStvA3z4Sa_uMEdQU9Hh1psr9iHs4w_3LfSTFvIhgbCwSPJh7ERxrU6LDjLzorIPHU3BTFaG9_ePTG2pMuxOHeI&query=benefits+of+running+regularly	7	3
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	http://www.sogou.com/link?url=hedJjaC291MSCPKPRapRNekzR73aFqUg_oWBB-SujsVZXza8pfSCPWIPw7sUQI8Ee5siZphIbqdb3_t5DZdy6Q..&query=benefits+of+running+regularly	8	3
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	http://www.sogou.com/link?url=hedJjaC291PPxtqDjq0J1TzYkTe-d0Vpe8TT-XMkAOp4xEAJdUwTQa4to0wa_Tif&query=benefits+of+running+regularly	9	3
1	benefits of running regularly	Want to know the benefits of running regularly	SOUGOU	http://www.sogou.com/link?url=hedJjaC291MqwjI7DzidGcTr2nb8JJsFpNUFGWNis-c68RDtmpetn__y1AfbOv-k7ejJ3v6wGco.&query=benefits+of+running+regularly	10	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	https://www.bestbuy.com/site/computers-pcs/computer-monitors/abcat0509000.c?id=abcat0509000	1	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	https://www.bestbuy.com/site/computer-monitors/led-monitors/pcmcat200900050014.c?id=pcmcat200900050014	2	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	https://www.bestbuy.com/site/computer-monitors/all-monitors/pcmcat143700050048.c?id=pcmcat143700050048	3	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	https://www.bestbuy.com/site/computer-monitors/4k-ultra-hd-monitors/pcmcat374100050017.c?id=pcmcat374100050017	4	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	https://www.bestbuy.com/site/computers-pcs/computer-monitors/abcat0509000.c?id=abcat0509000	5	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	http://www.sogou.com/link?url=hedJjaC291P0GZW0_D22hLloK1OljFDIJsyQURjZeKpU87qhDzbtz7ChaX2OU60swR4jsAimxBTRqCoUkWwyeYVaTpWhTNJi-afvimxTVO0Y3cXKjhTh8KHHjsIRato6QjrgZin6qww84Z3J1tKSNg..&query=buy+computer+screen	6	3
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	http://www.sogou.com/link?url=hedJjaC291OxPYOT4xv71e-FGWiFI7Ru0ve9Lv8XpMX-2pn0Ul8DNj2WQ--lyEQCQg8CkRopew-Bd2IueNOk3Q..&query=buy+computer+screen	7	1
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	http://www.sogou.com/link?url=hedJjaC291NhEGhDd4M8il3B1ggCd1T4DzG2x6G8xux7aDKB80Rprm5u7Iy1eLkJV7wFj31UlCiTs0dNSN9kQZQRip2X8lEivL4m-h25HjI.&query=buy+computer+screen	8	0
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	http://www.sogou.com/link?url=hedJjaC291NhEGhDd4M8il3B1ggCd1T4DzG2x6G8xux7aDKB80Rprm5u7Iy1eLkJV7wFj31UlCiTs0dNSN9kQdJ2J7dvvL20SZdcePWC246mrPWi2cPI_LDck-J9wlJ-&query=buy+computer+screen	9	0
2	buy computer screen	Plan to buy a computer screen in online shops	SOUGOU	http://www.sogou.com/link?url=hedJjaC291NhEGhDd4M8il3B1ggCd1T4o3qQK80dJyEN2VKz_q1Xo8UlM5w3UnvL1fQNuKrxo03GknO8-hc370Kd6vFU6dcW2Nx_aT3w4NTdaP6doPzDEUKd6vFU6dcW2Nx_aT3w4NQHMtTa4ZJ0RQ..&query=buy+computer+screen	10	0
2	buy computer screen	Plan to buy a computer screen in online shops	BING	https://www.bestbuy.com/site/computers-pcs/computer-monitors/abcat0509000.c?id=abcat0509000	1	3
2	buy computer screen	Plan to buy a computer screen in online shops	BING	https://www.amazon.com/Monitors-Computers-Accessories/b?node=1292115011	2	3
2	buy computer screen	Plan to buy a computer screen in online shops	BING	https://www.laptopscreen.com/	3	3
2	buy computer screen	Plan to buy a computer screen in online shops	BING	https://www.bestbuy.com/site/shop/touch-screen-monitor	4	1
2	buy computer screen	Plan to buy a computer screen in online shops	BING	https://www.techrepublic.com/blog/cracking-open/how-to-replace-a-broken-laptop-screen/	5	0
2	buy computer screen	Plan to buy a computer screen in online shops	BING	https://www.techwalla.com/articles/how-to-use-hdmi-out-on-laptop-to-exernal-monitor	6	0
2	buy computer screen	Plan to buy a computer screen in online shops	BING	http://www.gadgetreview.com/best-computer-monitors	7	2
2	buy computer screen	Plan to buy a computer screen in online shops	BING	https://yourbusiness.azcentral.com/need-attach-monitor-laptop-24347.html	8	0
2	buy computer screen	Plan to buy a computer screen in online shops	BING	https://www.bestbuy.com/site/computer-monitors/curved-monitors/pcmcat374100050018.c?id=pcmcat374100050018	9	2
2	buy computer screen	Plan to buy a computer screen in online shops	BING	https://www.bestbuy.com/site/searchpage.jsp?id=pcat17071&st=apple+computer+monitors	10	2
